,ProbeID,GeneName,Approved symbol,GeneSymbol,Description,RefSeq,EntrezID
516,A_33_P3404899,latrophilin 2,ADGRL2,LPHN2,"Homo sapiens latrophilin 2 (LPHN2), mRNA [NM_012302]",NM_012302,23266.0
4039,A_33_P3307363,latrophilin 2,ADGRL2,LPHN2,"Homo sapiens latrophilin 2 (LPHN2), mRNA [NM_012302]",NM_012302,23266.0
4585,A_23_P74042,latrophilin 2,ADGRL2,LPHN2,"Homo sapiens latrophilin 2 (LPHN2), mRNA [NM_012302]",NM_012302,23266.0
15318,A_33_P3404879,latrophilin 2,ADGRL2,LPHN2,"Homo sapiens latrophilin 2 (LPHN2), mRNA [NM_012302]",NM_012302,23266.0
519,A_23_P80778,disrupted in renal carcinoma 2,SLC49A4,DIRC2,"Homo sapiens disrupted in renal carcinoma 2 (DIRC2), mRNA [NM_032839]",NM_032839,84925.0
30392,A_33_P3308263,disrupted in renal carcinoma 2,SLC49A4,DIRC2,"Homo sapiens disrupted in renal carcinoma 2 (DIRC2), mRNA [NM_032839]",NM_032839,84925.0
521,A_23_P101185,asparaginyl-tRNA synthetase,NARS1,NARS,"Homo sapiens asparaginyl-tRNA synthetase (NARS), mRNA [NM_004539]",NM_004539,4677.0
563,A_23_P330561,chromosome 19 open reading frame 59,MCEMP1,C19orf59,"Homo sapiens chromosome 19 open reading frame 59 (C19orf59), mRNA [NM_174918]",NM_174918,
622,A_23_P345799,"family with sequence similarity 129, member C",NIBAN3,FAM129C,"Homo sapiens family with sequence similarity 129, member C (FAM129C), transcript variant 1, mRNA [NM_173544]",NM_173544,199786.0
670,A_24_P296808,paraneoplastic Ma antigen family-like 1,PNMA8A,PNMAL1,"Homo sapiens paraneoplastic Ma antigen family-like 1 (PNMAL1), transcript variant 1, mRNA [NM_018215]",NM_018215,55228.0
677,A_33_P3323904,RAB6C-like,RAB6D,WTH3DI,"Homo sapiens RAB6C-like (WTH3DI), mRNA [NM_001077637]",NM_001077637,150786.0
685,A_24_P197284,CXXC finger protein 11,RTP5,CXXC11,"Homo sapiens CXXC finger protein 11 (CXXC11), mRNA [NM_173821]",NM_173821,
708,A_32_P12994,uncharacterized LOC440900,LINC01191,LOC440900,"Homo sapiens uncharacterized LOC440900 (LOC440900), long non-coding RNA [NR_034128]",NR_034128,
720,A_23_P122508,diffuse panbronchiolitis critical region 1,MUCL3,DPCR1,"Homo sapiens diffuse panbronchiolitis critical region 1 (DPCR1), mRNA [NM_080870]",NM_080870,135656.0
766,A_33_P3228751,golgin A2 pseudogene,GOLGA2P7,LOC642423,"Homo sapiens golgin A2 pseudogene (LOC642423), non-coding RNA [NR_049748]",NR_027001,642423.0
1601,A_24_P341535,golgin A2 pseudogene,GOLGA2P7,LOC388152,"Homo sapiens golgin A2 pseudogene (LOC388152), non-coding RNA [NR_027001]",NR_027001,
7232,A_23_P398275,golgin A2 pseudogene,GOLGA2P7,LOC388152,"Homo sapiens golgin A2 pseudogene (LOC388152), non-coding RNA [NR_027001]",NR_027001,
8233,A_33_P3376762,golgin A2 pseudogene,GOLGA2P7,LOC388152,"Homo sapiens golgin A2 pseudogene (LOC388152), non-coding RNA [NR_027001]",NR_027001,
801,A_33_P3239233,uncharacterized LOC285484,LINC02495,LOC285484,"Homo sapiens uncharacterized LOC285484 (LOC285484), long non-coding RNA [NR_037863]",NR_037863,285484.0
821,A_23_P112113,KIAA0196,WASHC5,KIAA0196,"Homo sapiens KIAA0196 (KIAA0196), mRNA [NM_014846]",NM_014846,9897.0
837,A_24_P154948,glycyl-tRNA synthetase,GARS1,GARS,"Homo sapiens glycyl-tRNA synthetase (GARS), mRNA [NM_002047]",NM_002047,2617.0
846,A_23_P100441,"family with sequence similarity 192, member A",PSME3IP1,FAM192A,"Homo sapiens family with sequence similarity 192, member A (FAM192A), mRNA [NM_024946]",NM_024946,80011.0
33655,A_24_P373333,"family with sequence similarity 192, member A",PSME3IP1,FAM192A,"Homo sapiens family with sequence similarity 192, member A (FAM192A), mRNA [NM_024946]",NM_024946,80011.0
857,A_33_P3280066,polymerase I and transcript release factor,CAVIN1,PTRF,"Homo sapiens polymerase I and transcript release factor (PTRF), mRNA [NM_012232]",NM_012232,284119.0
26048,A_23_P394064,polymerase I and transcript release factor,CAVIN1,PTRF,"Homo sapiens polymerase I and transcript release factor (PTRF), mRNA [NM_012232]",NM_012232,284119.0
879,A_24_P202329,Rho GTPase activating protein 27 pseudogene,ARHGAP27P1-BPTFP1-KPNA2P3,LOC146880,"Homo sapiens Rho GTPase activating protein 27 pseudogene (LOC146880), transcript variant 2, non-coding RNA [NR_026899]",NR_026899,146880.0
896,A_23_P106145,ERO1-like (S. cerevisiae),ERO1A,ERO1L,"Homo sapiens ERO1-like (S. cerevisiae) (ERO1L), mRNA [NM_014584]",NM_014584,30001.0
920,A_33_P3391905,"SMEK homolog 3, suppressor of mek1 (Dictyostelium) pseudogene",PPP4R3C,SMEK3P,"Homo sapiens SMEK homolog 3, suppressor of mek1 (Dictyostelium) pseudogene (SMEK3P), non-coding RNA [NR_002784]",NR_002784,139420.0
931,A_24_P351466,KIAA1524,CIP2A,KIAA1524,"Homo sapiens KIAA1524 (KIAA1524), mRNA [NM_020890]",NM_020890,57650.0
939,A_24_P98555,"family with sequence similarity 45, member A",DENND10,FAM45A,"Homo sapiens family with sequence similarity 45, member A (FAM45A), mRNA [NM_207009]",NM_207009,404636.0
10116,A_32_P138004,"family with sequence similarity 45, member A",DENND10,FAM45A,"Homo sapiens family with sequence similarity 45, member A (FAM45A), mRNA [NM_207009]",NM_207009,404636.0
1048,A_33_P3247320,"egf-like module containing, mucin-like, hormone receptor-like 4 pseudogene",ADGRE4P,EMR4P,"Homo sapiens egf-like module containing, mucin-like, hormone receptor-like 4 pseudogene (EMR4P), non-coding RNA [NR_024075]",NR_024075,326342.0
1051,A_23_P93258,"histone cluster 1, H3b",H3C2,HIST1H3B,"Homo sapiens histone cluster 1, H3b (HIST1H3B), mRNA [NM_003537]",NM_003537,8358.0
1144,A_32_P177955,uncharacterized LOC441461,STX17-AS1,LOC441461,"Homo sapiens uncharacterized LOC441461 (LOC441461), long non-coding RNA [NR_038853]",NR_038853,441461.0
1238,A_23_P133842,"histone cluster 1, H1t",H1-6,HIST1H1T,"Homo sapiens histone cluster 1, H1t (HIST1H1T), mRNA [NM_005323]",NM_005323,3010.0
1239,A_33_P3832488,uncharacterized LOC400839,LINC01721,FLJ33581,"Homo sapiens uncharacterized LOC400839 (FLJ33581), long non-coding RNA [NR_040102]",NR_040102,400839.0
1241,A_32_P122940,uncharacterized LOC642852,LINC00205,LOC642852,"Homo sapiens uncharacterized LOC642852 (LOC642852), long non-coding RNA [NR_026943]",NR_026943,642852.0
1615,A_33_P3249958,uncharacterized LOC642852,LINC00205,LOC642852,"Homo sapiens uncharacterized LOC642852 (LOC642852), long non-coding RNA [NR_026943]",NR_026943,642852.0
1247,A_23_P102582,chromosome 20 open reading frame 24,RAB5IF,C20orf24,"Homo sapiens chromosome 20 open reading frame 24 (C20orf24), transcript variant 1, mRNA [NM_018840]",NM_018840,55969.0
1424,A_32_P738377,uncharacterized LOC284837,AATBC,LOC284837,"Homo sapiens uncharacterized LOC284837 (LOC284837), long non-coding RNA [NR_026961]",NR_026961,284837.0
1460,A_32_P128391,uncharacterized LOC728431,LINC01137,LOC728431,"Homo sapiens uncharacterized LOC728431 (LOC728431), long non-coding RNA [NR_038842]",NR_038842,
1491,A_23_P136077,parkin RBR E3 ubiquitin protein ligase,PRKN,PARK2,"Homo sapiens parkin RBR E3 ubiquitin protein ligase (PARK2), transcript variant 1, mRNA [NM_004562]",NM_004562,5071.0
16805,A_23_P147465,parkin RBR E3 ubiquitin protein ligase,PRKN,PARK2,"Homo sapiens parkin RBR E3 ubiquitin protein ligase (PARK2), transcript variant 1, mRNA [NM_004562]",NM_004562,5071.0
1528,A_24_P169343,AhpC/TSA antioxidant enzyme domain containing 1,PRXL2C,AAED1,"Homo sapiens AhpC/TSA antioxidant enzyme domain containing 1 (AAED1), mRNA [NM_153698]",NM_153698,195827.0
1529,A_24_P376379,uncharacterized LOC647323,LINC02026,LOC647323,"Homo sapiens uncharacterized LOC647323 (LOC647323), long non-coding RNA [NR_033944]",NR_033944,647323.0
1586,A_23_P105012,HRAS-like suppressor 2,PLAAT2,HRASLS2,"Homo sapiens HRAS-like suppressor 2 (HRASLS2), mRNA [NM_017878]",NM_017878,54979.0
1687,A_23_P102242,"membrane-associated ring finger (C3HC4) 7, E3 ubiquitin protein ligase",MARCHF7,2015-03-07 00:00:00,"Homo sapiens membrane-associated ring finger (C3HC4) 7, E3 ubiquitin protein ligase (MARCH7), transcript variant 2, mRNA [NM_022826]",NM_022826,64844.0
1693,A_33_P3364508,chromosome 7 open reading frame 43,TRAPPC14,C7orf43,"Homo sapiens chromosome 7 open reading frame 43 (C7orf43), mRNA [NM_018275]",NM_018275,55262.0
31371,A_33_P3303212,coiled-coil domain containing 74A,CCDC74B,CCDC74A,"Homo sapiens coiled-coil domain containing 74A (CCDC74A), transcript variant 2, mRNA [NM_001258304]",NM_207310,90557.0
1741,A_33_P3574055,endogenous Bornavirus-like nucleoprotein 2 pseudogene,EBLN3P,LOC100506710,"Homo sapiens endogenous Bornavirus-like nucleoprotein 2 pseudogene (LOC100506710), non-coding RNA [NR_036592]",NR_036592,100506710.0
1744,A_23_P435657,Alstrom syndrome 1 pseudogene,ALMS1P1,ALMS1P,"Homo sapiens Alstrom syndrome 1 pseudogene (ALMS1P), non-coding RNA [NR_003683]",NR_003683,200420.0
1785,A_23_P3065,chromosome 14 open reading frame 105,CCDC198,C14orf105,"Homo sapiens chromosome 14 open reading frame 105 (C14orf105), transcript variant 2, mRNA [NM_018168]",NM_018168,55195.0
1803,A_33_P3229869,uncharacterized LOC100128714,LINC02346,LOC100128714,"Homo sapiens uncharacterized LOC100128714 (LOC100128714), long non-coding RNA [NR_040082]",NR_040082,100128714.0
22102,A_33_P3229863,uncharacterized LOC100128714,LINC02346,LOC100128714,"Homo sapiens uncharacterized LOC100128714 (LOC100128714), long non-coding RNA [NR_040082]",NR_040082,100128714.0
1805,A_33_P3336632,"RNA, 28S ribosomal 5",RNA28SN5,RNA28S5,"Homo sapiens RNA, 28S ribosomal 5 (RNA28S5), ribosomal RNA [NR_003287]",NR_003287,100008589.0
6109,A_33_P3346552,"RNA, 28S ribosomal 5",RNA28SN5,RNA28S5,"Homo sapiens RNA, 28S ribosomal 5 (RNA28S5), ribosomal RNA [NR_003287]",NR_003287,100008589.0
10731,A_33_P3244165,"RNA, 28S ribosomal 5",RNA28SN5,RNA28S5,"Homo sapiens RNA, 28S ribosomal 5 (RNA28S5), ribosomal RNA [NR_003287]",NR_003287,100008589.0
19532,A_33_P3420259,"RNA, 28S ribosomal 5",RNA28SN5,RNA28S5,"Homo sapiens RNA, 28S ribosomal 5 (RNA28S5), ribosomal RNA [NR_003287]",NR_003287,100008589.0
30218,A_23_P8797,postmeiotic segregation increased 2-like 2 pseudogene,DTX2P1-UPK3BP1-PMS2P11,PMS2L2,"Homo sapiens postmeiotic segregation increased 2-like 2 pseudogene (PMS2L2), non-coding RNA [NR_003614]",NR_023383,5380.0
1831,A_24_P84880,actin pseudogene,ACTG1P25,LOC148709,"Homo sapiens actin pseudogene (LOC148709), non-coding RNA [NR_002929]",NR_002929,148709.0
1833,A_33_P3289121,chromosome 2 open reading frame 40,ECRG4,C2orf40,"Homo sapiens chromosome 2 open reading frame 40 (C2orf40), mRNA [NM_032411]",NM_032411,84417.0
1862,A_33_P3661329,uncharacterized LOC284661,LINC01777,LOC284661,"Homo sapiens uncharacterized LOC284661 (LOC284661), long non-coding RNA [NR_027088]",NR_027088,284661.0
4169,A_33_P3346048,POM121 membrane glycoprotein (rat) pseudogene,POM121L1P,LOC441081,"Homo sapiens POM121 membrane glycoprotein (rat) pseudogene (LOC441081), non-coding RNA [NR_073404]",NR_024591,441081.0
1876,A_33_P3386508,NDUFA6 antisense RNA 1 (head to head),NDUFA6-DT,NDUFA6-AS1,"Homo sapiens NDUFA6 antisense RNA 1 (head to head) (NDUFA6-AS1), long non-coding RNA [NR_034118]",NR_034118,100132273.0
22892,A_33_P3440264,NDUFA6 antisense RNA 1 (head to head),NDUFA6-DT,NDUFA6-AS1,"Homo sapiens NDUFA6 antisense RNA 1 (head to head) (NDUFA6-AS1), long non-coding RNA [NR_034118]",NR_034118,100132273.0
1895,A_24_P299318,"family with sequence similarity 101, member B",RFLNB,FAM101B,"Homo sapiens family with sequence similarity 101, member B (FAM101B), mRNA [NM_182705]",NM_182705,359845.0
33795,A_33_P3248227,,PVT1,,Pvt1 oncogene (non-protein coding) [Source:HGNC Symbol;Acc:9709] [ENST00000523328],NR_003367,
1931,A_23_P404005,"family with sequence similarity 58, member A",CCNQ,FAM58A,"Homo sapiens family with sequence similarity 58, member A (FAM58A), transcript variant 1, mRNA [NM_152274]",NM_152274,92002.0
1964,A_32_P46594,uncharacterized LOC145837,DRAIC,LOC145837,"Homo sapiens uncharacterized LOC145837 (LOC145837), long non-coding RNA [NR_026979]",NR_026979,145837.0
1971,A_23_P117852,KIAA0101,PCLAF,KIAA0101,"Homo sapiens KIAA0101 (KIAA0101), transcript variant 1, mRNA [NM_014736]",NM_014736,9768.0
1987,A_24_P328231,cleavage and polyadenylation specific factor 3-like,INTS11,CPSF3L,"Homo sapiens cleavage and polyadenylation specific factor 3-like (CPSF3L), transcript variant 2, mRNA [NM_017871]",NM_017871,54973.0
32445,A_33_P3270802,cleavage and polyadenylation specific factor 3-like,INTS11,CPSF3L,"Homo sapiens cleavage and polyadenylation specific factor 3-like (CPSF3L), transcript variant 1, mRNA [NM_001256456]",NM_017871,54973.0
2000,A_33_P3382086,"family with sequence similarity 195, member A",MCRIP2,FAM195A,"Homo sapiens family with sequence similarity 195, member A (FAM195A), mRNA [NM_138418]",NM_138418,84331.0
10725,A_23_P3663,"family with sequence similarity 195, member A",MCRIP2,FAM195A,"Homo sapiens family with sequence similarity 195, member A (FAM195A), mRNA [NM_138418]",NM_138418,84331.0
2055,A_33_P3287399,uncharacterized LOC100190940,LINC02418,LOC100190940,"Homo sapiens cDNA FLJ45823 fis, clone NT2RP8001605. [AK127723]",NR_024457,100190940.0
14316,A_33_P3372985,uncharacterized LOC100190940,LINC02418,LOC100190940,"Homo sapiens uncharacterized LOC100190940 (LOC100190940), long non-coding RNA [NR_024457]",NR_024457,100190940.0
2075,A_33_P3239084,"family with sequence similarity 86, member A",EEF2KMT,FAM86A,"Homo sapiens family with sequence similarity 86, member A (FAM86A), transcript variant 1, mRNA [NM_201400]",NM_201400,196483.0
5166,A_33_P3386932,"family with sequence similarity 86, member A",EEF2KMT,FAM86A,"Homo sapiens family with sequence similarity 86, member A (FAM86A), transcript variant 1, mRNA [NM_201400]",NM_201400,196483.0
16422,A_33_P3222045,"family with sequence similarity 86, member A",EEF2KMT,FAM86A,"Homo sapiens family with sequence similarity 86, member A (FAM86A), transcript variant 1, mRNA [NM_201400]",NM_201400,196483.0
19561,A_24_P392022,"family with sequence similarity 86, member A",EEF2KMT,FAM86A,"Homo sapiens family with sequence similarity 86, member A (FAM86A), transcript variant 1, mRNA [NM_201400]",NM_201400,196483.0
3799,A_33_P3336484,"nuclear pore complex interacting protein family, member A5",NPIPA1,NPIPA5,"Homo sapiens nuclear pore complex interacting protein family, member A5 (NPIPA5), mRNA [NM_001277325]",NM_006985,100288332.0
2130,A_23_P108546,regenerating islet-derived 1 pseudogene,REG1CP,REG1P,"Homo sapiens regenerating islet-derived 1 pseudogene (REG1P), non-coding RNA [NR_002714]",NR_002714,5969.0
29985,A_33_P3352683,regenerating islet-derived 1 pseudogene,REG1CP,REG1P,"Homo sapiens regenerating islet-derived 1 pseudogene (REG1P), non-coding RNA [NR_002714]",NR_002714,5969.0
2161,A_32_P153725,KIAA1033,WASHC4,KIAA1033,"Homo sapiens KIAA1033 (KIAA1033), mRNA [NM_015275]",NM_015275,23325.0
15314,A_23_P394545,KIAA1033,WASHC4,KIAA1033,"Homo sapiens KIAA1033 (KIAA1033), mRNA [NM_015275]",NM_015275,23325.0
2184,A_33_P3257474,chromosome 15 open reading frame 60,REC114,C15orf60,"Homo sapiens chromosome 15 open reading frame 60 (C15orf60), mRNA [NM_001042367]",NM_001042367,283677.0
2221,A_23_P94009,"N(alpha)-acetyltransferase 38, NatC auxiliary subunit",LSM8,NAA38,"Homo sapiens N(alpha)-acetyltransferase 38, NatC auxiliary subunit (NAA38), mRNA [NM_016200]",NM_016200,84316.0
2242,A_33_P3212640,notch 2 N-terminal like,NOTCH2NLA,NOTCH2NL,"Homo sapiens notch 2 N-terminal like (NOTCH2NL), mRNA [NM_203458]",NM_203458,388677.0
10841,A_33_P3212645,notch 2 N-terminal like,NOTCH2NLA,NOTCH2NL,"Homo sapiens notch 2 N-terminal like (NOTCH2NL), mRNA [NM_203458]",NM_203458,388677.0
2247,A_33_P3233160,coiled-coil domain containing 104,CFAP36,CCDC104,"Homo sapiens coiled-coil domain containing 104 (CCDC104), transcript variant 1, mRNA [NM_001282761]",NM_080667,112942.0
6266,A_23_P68327,coiled-coil domain containing 104,CFAP36,CCDC104,"Homo sapiens coiled-coil domain containing 104 (CCDC104), transcript variant 2, mRNA [NM_080667]",NM_080667,112942.0
2250,A_24_P96474,"leucine zipper, down-regulated in cancer 1-like",RTL6,LDOC1L,"Homo sapiens leucine zipper, down-regulated in cancer 1-like (LDOC1L), mRNA [NM_032287]",NM_032287,84247.0
2307,A_33_P3229246,"histone cluster 2, H2be",H2BC21,HIST2H2BE,"Homo sapiens histone cluster 2, H2be (HIST2H2BE), mRNA [NM_003528]",NM_003528,8349.0
28015,A_23_P149545,"histone cluster 2, H2be",H2BC21,HIST2H2BE,"Homo sapiens histone cluster 2, H2be (HIST2H2BE), mRNA [NM_003528]",NM_003528,8349.0
2338,A_23_P5018,CEBPA antisense RNA 1 (head to head),CEBPA-DT,CEBPA-AS1,"Homo sapiens CEBPA antisense RNA 1 (head to head) (CEBPA-AS1), long non-coding RNA [NR_026887]",NR_026887,80054.0
2344,A_33_P3233368,uncharacterized LOC645434,LINC01625,LOC645434,"Homo sapiens uncharacterized LOC645434 (LOC645434), long non-coding RNA [NR_033919]",NR_033919,645434.0
2409,A_23_P432545,EF-hand calcium binding domain 4A,CRACR2B,EFCAB4A,"Homo sapiens EF-hand calcium binding domain 4A (EFCAB4A), transcript variant 2, mRNA [NM_173584]",NM_173584,283229.0
2426,A_23_P250212,homolog of rat pragma of Rnd2,PRAG1,SGK223,"Homo sapiens homolog of rat pragma of Rnd2 (SGK223), mRNA [NM_001080826]",NM_001080826,157285.0
2434,A_33_P3400107,uncharacterized LOC100192420,LINC01634,FLJ41941,"Homo sapiens uncharacterized LOC100192420 (FLJ41941), long non-coding RNA [NR_024417]",NR_024417,100192420.0
2436,A_32_P226009,chromosome 5 open reading frame 42,CPLANE1,C5orf42,"Homo sapiens chromosome 5 open reading frame 42 (C5orf42), mRNA [NM_023073]",NM_023073,65250.0
8284,A_33_P3218148,chromosome 5 open reading frame 42,CPLANE1,C5orf42,"Homo sapiens chromosome 5 open reading frame 42 (C5orf42), mRNA [NM_023073]",NM_023073,65250.0
29690,A_33_P3530314,chromosome 5 open reading frame 42,CPLANE1,C5orf42,"Homo sapiens chromosome 5 open reading frame 42 (C5orf42), mRNA [NM_023073]",NM_023073,65250.0
2469,A_23_P316239,chromosome X open reading frame 40B,EOLA2,CXorf40B,"Homo sapiens chromosome X open reading frame 40B (CXorf40B), mRNA [NM_001013845]",NM_001013845,541578.0
28483,A_23_P306919,chromosome X open reading frame 40B,EOLA2,CXorf40B,"Homo sapiens chromosome X open reading frame 40B (CXorf40B), mRNA [NM_001013845]",NM_001013845,541578.0
2520,A_24_P842006,chromosome 16 open reading frame 93,CCDC189,C16orf93,"Homo sapiens chromosome 16 open reading frame 93 (C16orf93), transcript variant 1, mRNA [NM_001014979]",NM_001014979,90835.0
2573,A_24_P28811,"cytochrome P450, family 4, subfamily F, polypeptide 62, pseudogene",CYP4F30P,CYP4F62P,"Homo sapiens cytochrome P450, family 4, subfamily F, polypeptide 62, pseudogene (CYP4F62P), non-coding RNA [NR_103761]",NR_023391,646802.0
2579,A_24_P541831,long intergenic non-protein coding RNA 264,FAM238A,LINC00264,"Homo sapiens long intergenic non-protein coding RNA 264 (LINC00264), long non-coding RNA [NR_026793]",NR_026793,645528.0
2585,A_24_P915196,chromosome 9 open reading frame 91,TMEM268,C9orf91,"Homo sapiens chromosome 9 open reading frame 91 (C9orf91), mRNA [NM_153045]",NM_153045,203197.0
2588,A_23_P109333,chromosome 21 open reading frame 33,GATD3A,C21orf33,"Homo sapiens chromosome 21 open reading frame 33 (C21orf33), transcript variant 1, mRNA [NM_004649]",NM_004649,8209.0
2590,A_23_P96087,"H1 histone family, member X",H1-10,H1FX,"Homo sapiens H1 histone family, member X (H1FX), mRNA [NM_006026]",NM_006026,8971.0
2608,A_23_P34433,"zinc finger, CCHC domain containing 11",TUT4,ZCCHC11,"Homo sapiens zinc finger, CCHC domain containing 11 (ZCCHC11), transcript variant 1, mRNA [NM_001009881]",NM_001009881,23318.0
30513,A_33_P3357002,C1q and tumor necrosis factor related protein 9B,C1QTNF9,C1QTNF9B,"Homo sapiens C1q and tumor necrosis factor related protein 9B (C1QTNF9B), transcript variant 1, mRNA [NM_001007537]",NM_178540,387911.0
2638,A_23_P208400,aarF domain containing kinase 4,COQ8B,ADCK4,"Homo sapiens aarF domain containing kinase 4 (ADCK4), transcript variant 1, mRNA [NM_024876]",NM_024876,79934.0
2660,A_23_P123727,"zinc finger, CCHC domain containing 6",TUT7,ZCCHC6,"Homo sapiens zinc finger, CCHC domain containing 6 (ZCCHC6), transcript variant 1, mRNA [NM_024617]",NM_024617,79670.0
2666,A_33_P3351197,uncharacterized locus MGC21881,GLIDR,MGC21881,"Homo sapiens uncharacterized locus MGC21881 (MGC21881), long non-coding RNA [NR_015363]",NR_015363,
6205,A_33_P3351207,uncharacterized locus MGC21881,GLIDR,MGC21881,"Homo sapiens uncharacterized locus MGC21881 (MGC21881), long non-coding RNA [NR_015363]",NR_015363,
29823,A_23_P400603,uncharacterized locus MGC21881,GLIDR,MGC21881,"Homo sapiens uncharacterized locus MGC21881 (MGC21881), long non-coding RNA [NR_015363]",NR_015363,
2692,A_23_P410613,chromosome 12 open reading frame 23,TMEM263,C12orf23,"Homo sapiens chromosome 12 open reading frame 23 (C12orf23), mRNA [NM_152261]",NM_152261,
2717,A_23_P372860,"histone cluster 1, H2ac",H2AC6,HIST1H2AC,"Homo sapiens histone cluster 1, H2ac (HIST1H2AC), mRNA [NM_003512]",NM_003512,8334.0
28582,A_33_P3344127,"histone cluster 1, H2ac",H2AC6,HIST1H2AC,"Homo sapiens histone cluster 1, H2ac (HIST1H2AC), mRNA [NM_003512]",NM_003512,8334.0
2729,A_23_P322086,chromosome 12 open reading frame 39,SPX,C12orf39,"Homo sapiens chromosome 12 open reading frame 39 (C12orf39), mRNA [NM_030572]",NM_030572,
2747,A_23_P206293,G protein-coupled receptor 114,ADGRG5,GPR114,"Homo sapiens G protein-coupled receptor 114 (GPR114), mRNA [NM_153837]",NM_153837,221188.0
2759,A_33_P3303319,lipid phosphate phosphatase-related protein type 5,PLPPR5,LPPR5,"Homo sapiens lipid phosphate phosphatase-related protein type 5 (LPPR5), transcript variant 1, mRNA [NM_001037317]",NM_001037317,163404.0
2768,A_33_P3309670,KIAA1211,CRACD,KIAA1211,"Homo sapiens KIAA1211 (KIAA1211), mRNA [NM_020722]",NM_020722,57482.0
